id	district	number of polling stations	number of municipalities	registered voters	valid votes	invalid votes	blank votes	ΠΑ.ΣΟ.Κ	Νέα Δημοκρατία	Κ.Κ.Ε.	ΣΥΡΙΖΑ Ενωτικό κοινωνικό μέτωπο	Ο.Α.Κ.Κ.Ε. Οργάνωση για την Ανασυγκρότηση του ΚΚΕ	ΚΚΕ (μ-λ) - Μ-Λ ΚΚΕ ΕΚΛΟΓΙΚΗ ΣΥΝΕΡΓΑΣΙΑ	Κόμμα Φιλελευθέρων	Ενωση Κεντρώων	ΛΑ.Ο.Σ	Δημ. Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ	ΠΕΡΙΦ. ΑΣΤΙΚΗ ΑΝΑΠΤΥΞΗ (Π.Α.Α)	ΟΙΚΟΛΟΓΟΙ ΠΡΑΣΙΝΟΙ	ΕΕΚ ΤΡΟΤΣΚΙΣΤΕΣ - ΕΡΓΑΤΙΚΟ ΕΠΑΝΑΣΤΑΤΙΚΟ ΚΟΜΜΑ 	Λαικός Σύνδεσμος - Χρυσή Αυγή	ΚΟΙΝΩΝΙΑ ΠΟΛΙΤΙΚΗ ΠΑΡΑΤΑΞΗ συνεχιστών του ΚΑΠΟΔΙΣΤΡΙΑ	Αντικαπιταλιστική Αριστερή Συνεργασία (ΑΝΤ.ΑΡ.ΣΥ.Α.)	Δημοκρατική Αριστερά	Ανεξάρτητοι Ελληνες	Δημοκρατική Συμμαχία ΝΤΟΡΑ ΜΠΑΚΟΓΙΑΝΝΗ	Κοινωνική Συμφωνία	δημιουργία, ξανά!	Κόμμα Πειρατών Ελλάδας	ΚΙΝΗΜΑ ΔΕΝ ΠΛΗΡΩΝΩ	Αξιοπρέπεια	Σύνδεσμος Εθνικής Ενότητας	ΠΑΝΑΘΗΝΑΪΚΟ ΚΙΝΗΜΑ	ΟΡΓΑΝΩΣΗ ΚΟΜΜΟΥΝΙΣΤΩΝ ΔΙΕΘΝΙΣΤΩΝ ΕΛΛΑΔΑΣ 	Κ.Ε.ΑΝ. ΚΙΝΗΜΑ ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ	Δράση - Φιλελεύθερη Συμμαχία (Δράση - Φιλελεύθερη Συμμαχία)	ΟΧΙ (ΔΗΜΟΚΡΑΤΙΚΗ ΑΝΑΓΕΝΝΗΣΗ - ΕΝΙΑΙΟ ΠΑΛΛΑΪΚΟ ΜΕΤΩΠΟ)	ΑΝΕΞ.ΑΝ.ΑΡΙΣΤ., ΑΝ.ΔΕΞΙΑ, ΑΝ.ΠΑΣΟΚ, ΑΝ.Ν.Δ., ΟΧΙ ΣΤΟΝ ΠΟΛΕΜΟ Κ. ΕΠΙΧ.ΧΑΡ.ΟΙΚ.ΧΑΡ.ΧΡΕΗ ΣΩΖΩ ΖΩΕΣ ΠΑΝ.ΕΡΓ.ΚΙΝ.ΕΛΛ. ΠΑ.Ε.Κ.Ε.	Ανεξ. Υποψήφιος
1	Εβρου	368	6	172040	95289	2690	867	17680	27391	5076	7031	79	238	0	473	3370	0	0	2202	137	5799	324	1018	4795	10632	2674	668	1160	802	899	0	1503	0	114	0	752	472	0	0
2	Ροδόπης	270	5	119279	68820	2103	994	18384	12569	3110	6471	91	398	0	217	1693	0	0	995	159	2577	201	243	2665	3738	12352	254	924	0	460	0	670	0	0	0	364	285	0	0
3	Ξάνθης	225	5	115165	66289	2013	730	8279	14466	3118	15995	84	433	70	245	1697	0	0	1212	134	2850	139	467	3324	5125	3646	511	971	467	356	0	768	0	0	0	529	1403	0	0
4	Δράμας	236	6	118940	67300	1230	419	11944	17283	3337	6709	19	140	0	402	2292	0	0	1682	62	3425	258	493	3924	8209	1379	356	1521	0	647	0	1095	0	0	0	857	587	0	679
5	Καβάλας	286	5	145967	88378	1971	596	14582	21308	5825	12607	27	157	101	540	2645	0	0	2414	84	6181	320	467	4885	9242	1042	533	1746	651	781	0	754	0	45	0	874	567	0	0
6	Α' Θεσσαλονίκης	885	7	511548	348303	7317	2149	36309	51570	32430	60800	105	1313	272	4103	12992	0	0	11335	300	24081	1972	3736	25932	40311	5769	5918	8916	3086	2931	0	2083	0	364	0	8648	3027	0	0
7	Β' Θεσσαλονίκης	528	9	280656	206134	3941	1190	23142	41248	18241	29729	67	587	177	1950	7986	0	0	5370	155	16184	1224	1587	14043	24825	2714	1944	4297	1555	1869	0	1768	0	100	0	4027	1317	0	28
8	Σερρών	480	8	238737	133838	3026	986	21334	40246	8201	12244	59	252	0	844	4777	0	0	3363	104	9044	433	998	6429	14304	2528	1017	1762	811	1207	0	1203	0	42	0	1404	1232	0	0
9	Χαλκιδικής	208	6	104076	70593	1539	509	11171	16352	4150	10243	50	210	0	444	1954	0	0	1531	74	4487	365	678	4200	9106	1305	558	878	590	698	0	350	0	0	0	720	478	0	1
10	Κιλκίς	229	3	107878	65358	1236	417	9818	17399	6372	6963	45	198	0	497	2096	0	0	1435	70	5349	284	435	3543	6205	995	755	688	0	733	0	935	0	48	0	495	0	0	0
11	Πέλλας	314	5	149647	97206	2118	740	18320	26400	5934	9696	45	178	0	1033	3040	0	0	2081	85	7365	0	1326	6339	9498	1181	814	1283	0	1164	0	647	0	0	0	777	0	0	0
12	Ημαθίας	276	4	137302	94538	1805	579	15524	20221	8532	12267	58	272	0	679	2961	0	0	2001	139	7283	591	971	5633	11771	1151	572	892	657	1005	0	438	0	68	0	852	0	0	0
13	Πιερίας	256	4	131390	85293	1472	465	13647	23194	6049	8253	39	289	0	576	3176	0	0	1688	64	5715	367	478	5444	10546	1261	582	815	0	759	0	309	0	0	0	1162	880	0	0
14	Φλώρινας	198	4	90364	35747	294	906	5842	10578	2851	4704	54	69	0	143	819	0	0	852	36	2006	167	371	1678	3238	609	209	353	0	399	0	104	0	0	0	292	373	0	0
