id	district	number of polling stations	number of municipalities	registered voters	valid votes	invalid votes	blank votes	ΠΑ.ΣΟ.Κ	Νέα Δημοκρατία	Κ.Κ.Ε.	ΣΥΡΙΖΑ Ενωτικό κοινωνικό μέτωπο	ΚΚΕ (μ-λ) - Μ-Λ ΚΚΕ ΕΚΛΟΓΙΚΗ ΣΥΝΕΡΓΑΣΙΑ	Κόμμα Φιλελευθέρων	Ενωση Κεντρώων	ΛΑ.Ο.Σ	ΟΙΚΟΛΟΓΟΙ ΠΡΑΣΙΝΟΙ	Λαικός Σύνδεσμος - Χρυσή Αυγή	ΚΟΙΝΩΝΙΑ ΠΟΛΙΤΙΚΗ ΠΑΡΑΤΑΞΗ συνεχιστών του ΚΑΠΟΔΙΣΤΡΙΑ	Αντικαπιταλιστική Αριστερή Συνεργασία (ΑΝΤ.ΑΡ.ΣΥ.Α.)	Δημοκρατική Αριστερά	Ανεξάρτητοι Ελληνες - Πάνος Καμμένος	Κόμμα Πειρατών Ελλάδας	ΚΙΝΗΜΑ ΔΕΝ ΠΛΗΡΩΝΩ	ΠΑΝΑΘΗΝΑΪΚΟ ΚΙΝΗΜΑ	Κ.Ε.ΑΝ. ΚΙΝΗΜΑ ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ	ΑΝ.ΑΝ.ΑΡΙΣΤ., ΑΝ.ΔΕΞΙΑ, ΑΝ.ΠΑΣΟΚ, ΑΝ.Ν.Δ., ΟΧΙ ΣΤΟΝ ΠΟΛΕΜΟ Κ. ΕΠΙΧ.ΧΑΡ.ΟΙΚ.ΧΑΡ.ΧΡΕΗ ΣΩΖΩ ΖΩΕΣ ΠΑΝ.ΕΡΓ.ΚΙΝ.ΕΛΛ. ΠΑ.Ε.Κ.Ε.	δημιουργία, ξανά!   (δημιουργία ξανά!-Δράση-Φιλελεύθερη Συμμαχία)	ΕΘΝΙΚΗ ΕΛΠΙΔΑ	Ανεξ./Μεμονωμένοι Υποψήφιοι
1	Εβρου	368	6	171556	94572	893	686	15754	37656	2503	14104	151	0	330	1472	788	6374	276	275	4515	7664	374	488	459	0	0	1236	153	0
2	Ροδόπης	270	5	119135	69229	692	584	14221	18889	1336	13676	134	0	160	742	473	2901	119	135	12283	2953	127	208	189	0	0	614	69	0
3	Ξάνθης	225	5	115226	64733	803	559	6308	17143	2166	24962	198	0	186	782	500	3166	143	155	2802	4618	185	229	261	0	0	846	83	0
4	Δράμας	236	6	118626	65322	422	287	10952	23390	1456	11383	50	0	230	1362	512	3815	149	142	3347	6564	258	305	146	0	0	1202	59	0
5	Καβάλας	286	5	146021	87066	683	419	12941	30112	3036	18415	67	0	295	1388	688	5787	203	153	4488	7266	242	346	243	0	0	1291	105	0
6	Α' Θεσσαλονίκης	885	7	511077	339580	1854	1414	34738	94219	15278	91526	498	0	1723	7274	3092	23038	1167	922	25292	30290	1144	1213	191	0	0	7722	249	4
7	Β' Θεσσαλονίκης	528	9	280873	201698	1000	744	22434	64361	8272	47191	269	0	797	3936	1406	15626	713	429	12343	18467	588	774	142	0	0	3777	173	0
8	Σερρών	481	8	237835	129410	1117	664	19276	51947	4115	21146	146	0	414	2738	991	9231	312	277	5957	9938	295	556	235	0	0	1685	151	0
9	Χαλκιδικής	209	6	104116	69382	468	319	10157	24211	1877	15596	94	0	186	944	437	4300	205	168	3706	6086	185	299	0	0	0	843	88	0
10	Κιλκίς	229	3	107811	63675	377	227	9086	23010	3427	12112	133	0	269	1183	394	4961	195	119	2973	4527	0	354	0	0	0	831	76	25
11	Πέλλας	314	5	149705	94426	673	509	16218	33850	2592	17333	115	0	362	1755	549	6937	274	322	4971	7127	235	494	0	0	0	941	351	0
12	Ημαθίας	276	4	137324	90893	519	386	13510	27411	3898	21477	129	0	294	1592	587	7199	282	228	4465	8003	234	422	0	0	0	952	210	0
13	Πιερίας	256	4	131373	82701	420	312	12396	29652	2888	15364	117	0	247	1614	554	5772	212	159	4735	7222	184	364	0	0	0	1152	69	0
