id	district	number of polling stations	number of municipalities	registered voters	valid votes	invalid votes	blank votes	Νέα Δημοκρατία	Κ.Κ.Ε. - ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ	ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ-ΣΥΡΙΖΑ	Α.Σ.Κ.Ε.	ΜΑΡΞΙΣΤΙΚΟ-ΛΕΝΙΝΙΣΤΙΚΟ ΚΚΕ	Ο.Α.Κ.Κ.Ε. Οργάνωση για την Ανασυγκρότηση του ΚΚΕ	Ενωση Κεντρώων	ΛΑΪΚΟΣ ΟΡΘΟΔΟΞΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΛΑ.Ο.Σ.)	Δημ. Βεργής Ελληνες ΟΙΚΟΛΟΓΟΙ	Ευρωπαϊκή Ελεύθερη Συμμαχία - Ουράνιο Τόξο	ΕΕΚ ΤΡΟΤΣΚΙΣΤΕΣ - ΕΡΓΑΤΙΚΟ ΕΠΑΝΑΣΤΑΤΙΚΟ ΚΟΜΜΑ 	Λαικός Σύνδεσμος - Χρυσή Αυγή	ΚΟΙΝΩΝΙΑ	Κόμμα Ελλήνων Κυνηγών (Φύση - Κυνήγι - Ψάρεμα - Παράδοση)	Αντικαπιταλιστική Αριστερή Συνεργασία (ΑΝΤ.ΑΡ.ΣΥ.Α.)	ΛΕΥΚΟ	Δημοκρατική Αριστερά - Προοδευτική Συνεργασία	Ανεξάρτητοι Ελληνες - Πάνος Καμμένος	Σύνδεσμος Εθνικής Ενότητας	ΠΑΝΑΘΗΝΑΪΚΟ ΚΙΝΗΜΑ	ΟΡΓΑΝΩΣΗ ΚΟΜΜΟΥΝΙΣΤΩΝ ΔΙΕΘΝΙΣΤΩΝ ΕΛΛΑΔΑΣ 	Κ.Ε.ΑΝ. ΚΙΝΗΜΑ ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ	ΑΝ.ΑΝ.ΑΡΙΣΤ., ΑΝ.ΔΕΞΙΑ, ΑΝ.ΠΑΣΟΚ, ΑΝ.Ν.Δ., ΟΧΙ ΣΤΟΝ ΠΟΛΕΜΟ Κ. ΕΠΙΧ.ΧΑΡ.ΟΙΚ.ΧΑΡ.ΧΡΕΗ ΣΩΖΩ ΖΩΕΣ ΠΑΝ.ΕΡΓ.ΚΙΝ.ΕΛΛ. ΠΑ.Ε.Κ.Ε.	ΚΟΜΜΑ ΙΣΟΤΗΤΑΣ ΕΙΡΗΝΗΣ ΚΑΙ ΦΙΛΙΑΣ	ΕΘΝΙΚΗ ΑΥΓΗ	ΤΟ ΠΟΤΑΜΙ	ΕΝΙΑΙΟ ΠΑΛΑΙΚΟ ΜΕΤΩΠΟ (Ε.ΠΑ.Μ)	ΕΛΕΥΘΕΡΙΑ	ΕΘΝΙΚΟ ΜΕΤΩΠΟ	ΠΡΑΣΙΝΟΙ-Αλληλεγγύη, Δημιουργία, Οικολογία	ΚΟΛΛΑΤΟΣ-ΑΝΕΞΑΡΤΗΤΟ ΠΟΛΙΤΙΚΟ ΚΙΝΗΜΑ-Οικολογικό Ελληνικό	ΕΛΠΙΔΑ ΠΟΛΙΤΕΙΑΣ	ΣΧΕΔΙΟ Β΄	Σοσιαλιστικό Κόμμα	έλληνες ευρωπαίοι πολίτες	κοινωνία αξιών	Αγροτικό.Κτηνοτροφικό.Κόμμα Ελλάδας (Α.Κ.Κ.ΕΛ)	ελιά ΔΗΜΟΚΡΑΤΙΚΗ ΠΑΡΑΤΑΞΗ [(ΠΑ.ΣΟ.Κ)-Συμφ. για τη Ν. Ελλάδα-Δυν. Ελλάδα-Μεταρ/κή Αριστ.-Ν. Μετ/στές-ΠΟΛ. 2012-ΠΡΩΤ/ΛΙΑ Β΄] 	ΓΕΦΥΡΕΣ ΔΗΜΙΟΥΡΓΙΑ, ΞΑΝΑ! ΘΑΝΟΣ ΤΖΗΜΕΡΟΣ/ΔΡΑΣΗ, ΘΟΔΩΡΟΣ ΣΚΥΛΑΚΑΚΗΣ	ΔΡΑΧΜΗ [ΔΡΑΧΜΗ, Ελληνική Δημοκρατική Κίνηση Πέντε Αστέρων - Πατριωτικό Κοινωνικό Κίνημα - Ελληνικό Κοινωνικό Κίνημα]	ΟΙΚΟΛΟΓΟΙ ΠΡΑΣΙΝΟΙ - ΚΟΜΜΑ ΠΕΙΡΑΤΩΝ ΕΛΛΑΔΑΣ	ΕΝΩΣΗ ΓΙΑ ΤΗΝ ΠΑΤΡΙΔΑ ΚΑΙ ΤΟΝ ΛΑΟ [ΕΝ.ΓΙΑ ΤΗΝ ΠΑΤΡ.ΚΑΙ ΤΟΝ ΛΑΟ-Νέα Μεταρ. Ριζοσπ. Αν.-Χριστ/κό Κ. Ελλ.-Πατρ. Δίκτ. Αφύπν.]	ΠΑΤΡΙΩΤΙΚΗ ΕΝΩΣΗ-ΕΛΛ. ΛΑΪΚ. ΣΥΣΠ. (ΕΛ.ΛΑ.Σ.) [ΚΟΜ. ΕΘΝ. ΣΩΤ. (Κ.Ε.ΣΩ)-ΕΘΝ. ΛΑΪΚ. ΣΧΗΜ. (Ε.ΛΑ.Σ)-Κίν. Πολ/κής Αλήθ. (ΚΙ.Π.ΑΛ.)]
1	Εβρου	360	5	167621	84272	3745	1359	26713	2969	13109	116	158	58	437	1738	159	82	98	9324	421	1082	388	214	777	2732	864	989	96	66	0	1220	0	4947	599	0	143	388	99	106	118	158	822	429	1589	8418	607	143	663	1129	104
2	Ροδόπης	266	4	117550	61828	3568	1005	10172	1232	6642	85	115	62	243	1001	77	82	71	3862	194	414	196	183	318	1427	185	301	61	71	1	26041	0	1969	189	2	152	202	84	77	80	190	374	124	219	3424	341	102	433	761	69
3	Ξάνθης	224	4	116009	59391	3730	1084	10447	1580	10165	96	134	51	306	1253	75	74	69	3999	218	653	253	153	614	2129	332	387	62	51	0	15391	0	2864	686	0	108	220	79	117	81	119	426	172	488	4136	344	159	424	384	92
4	Δράμας	249	5	117757	60168	2173	798	15452	1845	10937	43	98	31	776	2490	64	64	40	4852	451	2102	223	114	1674	2097	321	289	32	24	0	25	0	3448	394	0	190	289	101	79	148	140	848	174	1924	6493	383	145	560	751	57
5	Καβάλας	311	4	145100	81964	3066	1091	21665	3607	17468	69	144	41	651	2884	86	77	59	7358	697	1971	311	188	844	3205	196	745	58	49	0	48	0	4851	471	0	100	351	156	78	118	135	991	219	979	8621	641	129	793	813	97
6	Α' Θεσσαλονίκης	1014	6	523501	308205	6653	3421	61229	20056	79438	116	838	172	4667	11129	317	273	236	31485	2701	1562	2518	514	4072	12746	1028	429	306	87	0	0	0	24450	2021	0	553	1885	607	414	573	465	5440	1102	565	19689	3727	490	3978	6116	211
7	Β' Θεσσαλονίκης	586	8	286092	189168	5417	2531	42221	11006	42499	129	543	145	2381	6534	169	235	167	23374	1685	2397	1264	401	2041	8111	844	318	166	94	0	1	0	12824	1094	1	359	1002	241	298	286	308	3123	643	1186	12396	2096	260	1814	4338	174
8	Σερρών	503	7	233094	116006	3991	1802	33542	4823	20849	74	197	77	907	6595	170	117	89	12364	917	1063	586	236	1624	3899	701	618	77	56	0	0	0	6021	582	0	181	790	137	303	110	601	1582	298	2066	10114	742	199	909	1651	139
9	Χαλκιδικής	220	5	104255	62153	2251	860	17594	2376	15353	51	130	53	518	1455	20	36	59	6068	348	659	366	123	1066	2529	315	146	48	23	0	0	0	3567	207	0	90	244	28	79	73	75	591	117	376	5390	410	84	484	928	74
10	Κιλκίς	239	2	105691	56765	2220	778	15168	4007	10975	33	142	33	510	1855	60	160	52	7375	281	1291	251	121	610	1858	236	156	44	24	0	0	0	2731	224	0	94	217	94	71	51	98	854	135	354	4675	279	93	372	1130	51
11	Πέλλας	323	4	148823	89561	3222	1544	23264	3688	18141	75	215	50	986	3134	112	394	76	11481	541	839	739	191	763	2863	296	394	61	66	25	2	0	4761	412	0	144	327	91	439	93	864	1231	233	760	8123	995	154	608	1836	94
12	Ημαθίας	292	3	136788	85611	3564	1192	17449	4938	19632	75	218	54	794	2854	102	161	76	10600	948	926	515	209	814	4586	304	410	72	53	0	0	0	4444	513	0	142	315	101	135	115	215	2136	217	716	7348	914	168	655	1577	110
13	Πιερίας	274	3	130830	73376	1942	705	18623	3578	15338	49	159	30	466	2685	85	45	40	8411	570	1248	307	133	1732	2795	494	552	35	22	0	3	0	3791	319	0	99	213	105	40	88	511	1042	144	524	6186	815	91	432	1497	79
14	Φλώρινας	175	3	90044	33803	636	1288	9145	1409	7950	31	50	19	155	769	28	1067	26	2839	262	272	157	64	716	1334	288	226	48	12	0	5	0	2124	125	0	33	114	24	25	35	74	280	73	261	2755	229	41	194	509	35
15	Κοζάνης	399	4	164285	94864	2638	1314	21928	5727	23007	47	173	32	495	3351	76	209	52	7442	607	1145	666	202	1488	5539	306	475	62	38	0	0	0	5768	443	0	99	333	75	296	99	204	1293	276	940	8705	1332	117	663	1083	71
16	Καστοριάς	148	3	62738	31099	851	404	9866	1043	5769	18	41	11	146	946	15	147	10	3935	185	451	122	44	320	1196	54	166	8	14	0	0	0	2225	178	0	24	64	39	27	114	33	389	54	141	2547	267	46	117	311	16
17	Γρεβενών	125	2	42654	21600	543	253	5371	1663	3996	18	35	7	63	490	12	16	9	1558	67	195	133	31	304	459	107	109	9	9	0	0	0	951	64	0	36	43	13	14	51	32	2675	45	156	2483	114	14	84	149	15
18	Ιωαννίνων	472	8	169855	94379	2289	986	24151	6149	29541	39	216	35	400	2114	55	48	51	5806	312	901	843	120	1428	2015	206	436	55	16	0	0	0	6069	396	0	101	363	76	40	112	309	747	168	240	8578	826	96	615	655	51
19	Αρτας	199	4	79486	44514	1034	441	12310	2804	14548	20	64	8	119	676	51	22	17	2773	121	822	363	54	344	1186	52	516	7	8	0	0	0	1933	148	0	31	98	38	23	46	392	301	80	123	3741	149	44	227	233	22
20	Θεσπρωτίας	163	3	59246	27213	619	209	7437	1369	7448	10	110	24	74	553	30	15	17	1785	92	358	239	0	321	604	41	229	41	8	0	0	0	1663	159	0	33	60	16	23	29	73	190	45	132	3298	136	14	176	345	16
21	Πρέβεζας	161	3	65094	36012	929	405	9862	2466	10386	19	47	10	107	640	33	20	23	2798	97	858	271	52	302	792	49	264	18	10	0	0	0	1543	134	0	32	90	21	17	38	47	220	156	203	3734	190	32	187	225	19
