id	district	number of polling stations	number of municipalities	registered voters	valid votes	invalid votes	blank votes	ΠΑ.ΣΟ.Κ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ 	Κ.Κ.Ε. - ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ	ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ-ΣΥΡΙΖΑ	ΚΚΕ (μ-λ) - Μ-Λ ΚΚΕ ΕΚΛΟΓΙΚΗ ΣΥΝΕΡΓΑΣΙΑ	Ενωση Κεντρώων	ΛΑΪΚΟΣ ΟΡΘΟΔΟΞΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΛΑ.Ο.Σ.)	ΕΕΚ ΤΡΟΤΣΚΙΣΤΕΣ - ΕΡΓΑΤΙΚΟ ΕΠΑΝΑΣΤΑΤΙΚΟ ΚΟΜΜΑ 	Λαικός Σύνδεσμος - Χρυσή Αυγή	ΑΝΤικαπιταλιστική ΑΡιστερή ΣΥνεργασία για την Ανατροπή  Μ.ΑΡ.Σ	Ανεξάρτητοι Ελληνες Εθν.Πατρ.Συμ.,ΑΚΚΕΛ,ΛΕΥΚΟ,Πυρ.Ελλ.,Χρ.Κομ.Ελλ.,Αν.Ελ. Π.Καμμένος	ΟΡΓΑΝΩΣΗ ΚΟΜΜΟΥΝΙΣΤΩΝ ΔΙΕΘΝΙΣΤΩΝ ΕΛΛΑΔΑΣ 	Κ.Ε.ΑΝ. ΚΙΝΗΜΑ ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΗΣ	ΑΝ.ΑΝ.ΑΡΙΣΤ., ΑΝ.ΔΕΞΙΑ, ΑΝ.ΠΑΣΟΚ, ΑΝ.Ν.Δ., ΟΧΙ ΣΤΟΝ ΠΟΛΕΜΟ Κ. ΕΠΙΧ.ΧΑΡ.ΟΙΚ.ΧΑΡ.ΧΡΕΗ ΣΩΖΩ ΖΩΕΣ ΠΑΝ.ΕΡΓ.ΚΙΝ.ΕΛΛ. ΠΑ.Ε.Κ.Ε.	ΤΟ ΠΟΤΑΜΙ	ΚΙΝΗΜΑ ΔΗΜΟΚΡΑΤΩΝ ΣΟΣΙΑΛΙΣΤΩΝ	Τελεία - Απόστολος Γκλέτσος	ΕΛΛΗΝΙΚΟ ΛΕΥΚΟ ΚΙΝΗΜΑ ΣΗΜΕΡΙΝΗΣ ΙΔΕΟΛΟΓΙΑΣ (Ε.Λ.Κ.Σ.Ι.)	ΕΝΩΣΗ ΔΗΜΟΚΡΑΤΙΚΗΣ ΕΘΝΙΚΗΣ ΜΕΤΑΡΡΥΘΜΙΣΗΣ (Ε.Δ.Ε.Μ.)	"""ΡΟ ΜΑ"" ΡΙΖΟΣΠΑΣΤΙΚΟ ΟΡΘΟΔΟΞΟ ΜΕΤΩΠΟ ΑΛΛΗΛΕΓΓΥΗΣ"	ΕΛΛΗΝΙΚΗ ΛΑΪΚΗ ΔΗΜΟΚΡΑΤΙΚΗ ΑΠΕΛΕΥΘΕΡΩΣΗ (ΕΛ.ΛΑ.Δ.Α.)	ΠΡΑΣΙΝΟΙ - ΔΗΜΟΚΡΑΤΙΚΗ ΑΡΙΣΤΕΡΑ	Ανεξ./Μεμονωμένοι Υποψήφιοι
1	Εβρου	336	6	167818	89860	2116	638	5883	33316	2933	23987	78	1556	1246	60	6739	501	4784	47	0	0	4818	1984	1428	0	119	0	0	381	0
2	Ροδόπης	261	5	118177	66505	1524	571	2214	13674	1226	32276	59	537	520	45	3251	162	1783	30	0	0	8444	1552	502	0	58	0	0	172	0
3	Ξάνθης	219	5	115319	64621	1651	571	4165	15224	1543	29355	146	845	724	49	3094	231	2623	32	0	0	2916	2547	799	0	94	0	0	234	0
4	Δράμας	222	6	117674	63725	1051	370	4626	21989	1940	17010	54	1550	1040	19	3816	236	3218	8	0	0	5314	1207	1201	0	72	0	0	425	0
5	Καβάλας	276	5	144892	85276	1701	525	5215	26614	3641	26665	79	2190	1209	0	6067	303	5006	38	0	0	4724	1434	1568	0	108	0	0	415	0
6	Α' Θεσσαλονίκης	816	7	514217	346880	7164	2037	14280	86174	19464	118353	620	17776	4878	150	24536	2275	19359	236	0	0	24284	4629	6725	0	378	0	517	2246	0
7	Β' Θεσσαλονίκης	492	9	284365	205679	3781	1084	8819	60103	10372	65068	263	8328	2937	60	16272	992	12105	63	0	0	12350	2391	3914	0	236	0	303	1103	0
8	Σερρών	446	8	231449	124956	2543	828	7742	46785	4725	32784	129	2674	2559	0	8038	573	6875	65	0	0	7134	2170	2029	0	164	0	0	510	0
9	Χαλκιδικής	197	6	103816	69993	1390	422	5033	23095	2259	23458	85	1843	663	46	4369	336	3649	17	0	0	3176	679	926	0	95	0	0	264	0
10	Κιλκίς	218	3	105398	60997	1144	320	4128	20134	3623	17936	111	1620	976	0	5244	204	2527	33	0	0	2252	874	887	76	64	0	0	308	0
11	Πέλλας	279	5	147952	95043	1685	533	5513	32330	3318	30531	83	2525	1430	0	7188	592	3525	29	0	0	4288	1760	1493	0	94	0	0	344	0
12	Ημαθίας	252	4	135534	91396	1547	498	4819	26387	4501	31021	93	2300	1452	43	6834	395	4916	32	0	0	4582	1712	1900	0	81	0	0	328	0
13	Πιερίας	237	4	130052	82175	1374	370	4060	28001	3494	24663	147	2027	1159	0	6425	241	4573	28	0	0	3179	2151	1617	0	119	0	0	291	0
14	Φλώρινας	177	4	89526	34409	630	208	1641	12050	1294	12487	30	475	335	0	1723	159	1356	21	0	0	1225	679	555	0	0	0	0	181	198
15	Κοζάνης	351	5	163418	99909	1618	590	6460	28102	5234	33078	145	2082	1412	39	5284	664	6722	25	0	0	5746	2536	1758	0	261	0	0	361	0
16	Καστοριάς	133	4	62628	32954	517	195	1596	12780	1196	8923	36	658	449	0	2528	116	1346	10	0	0	1728	977	493	0	33	0	0	85	0
17	Γρεβενών	123	3	43603	23531	343	144	1910	7803	1584	7408	29	284	235	0	1371	144	616	6	0	0	897	816	286	0	51	0	0	91	0
18	Ιωαννίνων	471	9	174097	102008	1820	653	5698	28796	5656	40363	298	1221	809	45	4431	749	3219	29	0	0	5603	3250	1094	0	73	0	154	520	0
19	Αρτας	203	5	82341	50389	1017	277	2653	15138	2574	22240	127	368	287	0	1894	303	1256	14	0	0	1697	1309	378	0	26	0	0	125	0
20	Θεσπρωτίας	161	4	62706	31074	577	176	1698	11687	1169	11156	160	252	147	0	1143	216	754	22	0	0	1339	991	199	0	0	0	0	141	0
21	Πρέβεζας	169	4	67009	39469	850	210	2154	12541	2443	14975	58	317	229	0	1826	306	1090	33	0	0	1713	1210	406	0	48	0	0	120	0
22	Λάρισας	482	8	250630	169981	2929	874	7628	46150	11787	61438	162	2373	1898	119	10957	1140	7342	40	0	0	9764	4429	3917	0	156	0	0	681	0
23	Μαγνησίας	322	9	175784	115400	2213	681	4335	28812	6497	46481	114	1512	1091	89	7959	638	6084	26	0	0	5116	2087	4015	0	161	0	0	383	0
24	Τρικάλων	320	5	149707	90238	1710	498	3665	29419	6112	32631	147	983	595	0	4186	561	2739	50	0	0	3660	3177	1528	0	154	0	0	631	0
25	Καρδίτσας	293	7	133698	81640	1440	478	4183	24510	4906	31764	176	675	500	38	5243	375	2728	23	0	0	2938	1916	1303	0	93	0	0	269	0
26	Κέρκυρας	227	3	110828	61728	1150	283	2395	13514	4280	27721	83	737	309	0	3521	381	3433	20	0	0	2984	1453	575	0	63	0	0	259	0
27	Λευκάδας	74	3	29176	15121	339	118	755	4369	1443	5444	20	148	122	0	708	203	540	2	0	0	668	473	156	0	0	0	0	70	0
28	Κεφαλληνίας	125	3	57640	23049	391	149	1024	6666	2152	8816	38	231	157	0	1394	151	847	9	0	0	896	330	201	0	22	0	0	115	0
29	Ζακύνθου	100	2	42143	23425	419	168	918	5623	2030	10070	49	143	117	0	1122	127	639	9	0	0	1761	471	211	0	21	0	0	114	0
30	Αιτωλοακαρνανίας	524	8	240227	141944	2909	752	8588	41458	8028	51838	140	1182	802	0	9113	947	4699	30	0	0	5869	6829	1747	0	169	0	0	505	0
31	Αχαίας	571	6	277866	185944	3605	914	7241	38292	10245	80077	162	2318	1222	109	8964	1316	10877	34	0	0	9916	10924	2831	0	466	0	0	950	0
32	Ηλείας	396	8	174695	98766	2154	494	8042	26566	4117	37421	65	710	637	56	5962	575	3703	23	0	0	3753	4769	1606	0	286	0	0	475	0
33	Φθιώτιδας	345	8	150819	100708	1595	552	3601	29294	4278	35981	94	947	1468	0	6287	594	6114	23	0	0	3995	3434	4152	0	90	0	0	356	0
34	Ευρυτανίας	126	3	32647	13928	239	93	601	4554	404	5172	16	141	140	0	610	65	449	1	0	0	974	552	177	0	0	0	0	72	0
35	Φωκίδας	131	3	44501	25556	447	175	1279	8117	1516	8887	32	252	237	0	1673	155	1027	6	0	0	1052	705	516	0	0	0	0	102	0
36	Βοιωτίας	210	7	108108	73055	1289	433	3081	16577	5085	30355	117	773	869	60	4858	540	3532	27	0	0	3340	1828	1621	0	76	0	0	316	0
37	Ευβοιας	418	9	202387	132584	2538	688	7042	31423	6609	53716	112	1602	1375	63	9223	685	6804	33	0	0	6983	3186	3105	0	121	0	0	349	153
38	Α' Αθηνών	885	2	486642	283936	5383	1477	9853	85389	17163	95423	271	4757	2710	192	20028	2433	12483	31	107	0	20536	6209	3909	0	265	0	503	1670	4
39	Β' Αθηνών	2438	35	1438936	1026555	15991	5279	34887	263441	71190	380701	1310	18252	9507	653	58789	8985	50332	205	307	1	78692	21220	18490	0	1270	16	2040	5873	394
40	Α' Πειραιώς	357	9	199760	118309	1997	630	3961	35020	6234	40696	96	2181	1199	54	8801	847	6303	24	41	0	7528	2013	2367	0	175	0	225	542	2
41	Β' Πειραιώς	465	6	271718	178405	3401	860	5589	33837	14587	75031	309	3161	2047	81	13922	1190	9927	59	61	0	9859	2645	4694	0	241	0	368	797	0
42	Αττικής	788	19	463918	337698	6499	1888	10161	87482	18098	125245	319	4725	4016	129	28500	1915	20023	52	102	0	20655	5438	8236	0	498	0	629	1453	22
43	Κορινθίας	301	7	140478	91264	1880	490	4180	27225	2696	33561	69	1536	992	59	6655	513	3770	24	0	0	5038	2426	1845	0	141	0	0	473	61
44	Αργολίδος	203	5	95088	61530	1308	377	4089	20771	2210	19868	63	654	617	0	4506	484	1793	29	0	0	3091	1960	1105	0	77	0	0	213	0
45	Αρκαδίας	344	6	131244	63802	1038	369	5233	23053	2777	19225	80	688	628	0	3720	467	1688	15	0	0	3158	1982	782	0	72	0	0	234	0
46	Μεσσηνίας	476	7	201357	105481	2205	573	4524	40037	5207	33504	79	1002	1133	0	7594	805	2831	18	0	0	4270	2824	1118	0	138	0	0	397	0
47	Λακωνίας	286	6	129557	54485	1110	315	5991	19498	2156	14444	44	386	522	42	5705	245	1491	14	0	0	1993	1125	616	0	47	0	0	166	0
48	Λέσβου	254	4	132951	59286	1251	386	3034	18019	6410	19527	114	554	656	0	2765	307	3141	31	0	0	2528	1105	703	0	99	0	0	293	0
49	Χίου	139	4	64904	31201	579	187	2131	12133	1724	8460	36	387	437	0	1464	160	759	13	0	0	1971	800	473	0	0	0	0	253	0
50	Σάμου	110	4	52723	25002	568	180	1018	6214	3770	9043	115	284	154	0	1384	158	913	11	0	0	988	501	260	0	31	0	0	158	0
51	Κυκλάδων	256	20	125740	68435	1475	483	3344	21616	2838	24033	79	1051	474	0	3468	393	3416	31	0	0	4629	1340	1214	0	98	0	0	411	0
52	Δωδεκανήσου	331	16	189242	102994	2273	689	8014	33568	3436	34259	59	1449	624	0	5697	344	5478	44	0	0	5008	2341	1798	0	140	0	1	734	0
