id	district	number of polling stations	number of municipalities	registered voters	valid votes	invalid votes	blank votes	Δεν εγκρίνεται / ΟΧΙ	Εγκρίνεται / ΝΑΙ
1	Εβρου	328	5	165473	84438	5023	852	46234	38204
2	Ροδόπης	256	4	118073	58609	3656	1218	37188	21421
3	Ξάνθης	216	4	116273	59015	2891	974	40067	18948
4	Δράμας	219	5	116561	60174	2148	478	34344	25830
5	Καβάλας	271	4	143875	81563	3600	657	47808	33755
6	Α' Θεσσαλονίκης	806	6	525662	329915	16228	2760	200973	128942
7	Β' Θεσσαλονίκης	488	8	287139	193735	10100	1582	116003	77732
8	Σερρών	436	7	228893	115064	5596	1012	61805	53259
9	Χαλκιδικής	193	5	103368	65874	3270	534	38964	26910
10	Κιλκίς	215	2	104884	56689	2722	430	32734	23955
11	Πέλλας	276	4	147614	85680	5153	743	52085	33595
12	Ημαθίας	249	3	135950	84407	3845	717	54508	29899
13	Πιερίας	233	3	131016	77375	3675	591	47220	30155
14	Φλώρινας	174	3	89224	31986	1565	265	20116	11870
15	Κοζάνης	343	4	162123	92067	4175	741	58158	33909
16	Καστοριάς	130	3	62190	30549	1048	251	15994	14555
17	Γρεβενών	117	2	41653	21111	1105	197	11426	9685
18	Ιωαννίνων	448	8	166696	90084	5598	744	53377	36707
19	Αρτας	190	4	76994	43007	2316	379	25795	17212
20	Θεσπρωτίας	155	3	58953	27053	1562	186	15973	11080
21	Πρέβεζας	161	3	64774	35370	2066	274	20487	14883
22	Λάρισας	474	7	250074	155518	7854	1212	96161	59357
23	Μαγνησίας	315	8	175561	110341	4857	854	73196	37145
24	Τρικάλων	311	4	146505	78318	5806	743	45931	32387
25	Καρδίτσας	283	6	129871	70546	4127	637	42969	27577
26	Κέρκυρας	221	2	109629	58661	3487	421	41790	16871
27	Λευκάδας	70	2	28134	13627	872	172	7950	5677
28	Κεφαλληνίας	119	2	54265	21425	1400	165	13835	7590
29	Ζακύνθου	99	1	41519	21609	1378	160	14608	7001
30	Αιτωλοακαρνανίας	507	7	232076	123189	6991	861	75067	48122
31	Αχαΐας	565	5	277379	173982	9512	1099	118655	55327
32	Ηλείας	386	7	170334	88822	4386	657	57733	31089
33	Φθιώτιδας	337	7	149094	91782	4422	729	55165	36617
34	Ευρυτανίας	117	2	29558	11493	546	112	6423	5070
35	Φωκίδας	126	2	43088	23081	1465	228	13231	9850
36	Βοιωτίας	206	6	107582	67390	4822	430	45423	21967
37	Ευβοίας	413	8	202171	127122	6735	848	85939	41183
38	Α' Αθηνών	871	1	509586	279310	15520	2362	148597	130713
39	Β' Αθηνών	2417	34	1494250	986916	56538	7558	573208	413708
40	Α' Πειραιώς	353	8	202285	113321	5584	935	67433	45888
41	Β' Πειραιώς	459	5	274956	167382	9128	1183	121327	46055
42	Αττικής	786	18	473598	325874	16940	2181	207544	118330
43	Κορινθίας	298	6	140138	87493	4257	599	54098	33395
44	Αργολίδος	198	4	94647	57812	2744	409	33271	24541
45	Αρκαδίας	336	5	127522	56741	2815	461	31993	24748
46	Μεσσηνίας	465	6	193867	96115	4742	821	54636	41479
47	Λακωνίας	281	5	125174	50452	2204	389	25816	24636
48	Λέσβου	246	3	126872	55072	4892	608	33804	21268
49	Χίου	134	3	63443	29329	1801	249	15783	13546
50	Σάμου	107	3	51774	23931	1853	218	16825	7106
51	Κυκλάδων	250	19	123298	68676	4201	703	43079	25597
52	Δωδεκανήσου	326	15	185189	101456	5457	649	65775	35681
53	Χανίων	296	7	141644	86260	3346	533	63628	22632
54	Ρεθύμνης	195	5	70099	43692	1852	328	28544	15148
55	Ηρακλείου	493	8	250682	168956	8176	984	119636	49320
56	Λασιθίου	161	4	67511	41968	2252	292	26326	15642
