id	district	number of polling stations	number of municipalities	registered voters	valid votes	invalid votes	blank votes	ΛΑΪΚΗ ΕΝΟΤΗΤΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ 	Κ.Κ.Ε. - ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ	ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ-ΣΥΡΙΖΑ	ΕΛΛΗΝΙΚΗ ΛΑΪΚΗ ΔΗΜΟΚΡΑΤΙΚΗ ΑΠΕΛΕΥΘΕΡΩΣΗ (ΕΛ.ΛΑ.Δ.Α.)	Ανεξ./Μεμονωμένοι Υποψήφιοι	ΔΗΜΟΚΡΑΤΙΚΟΙ, κοινωνία αξιών, Κόμμα Πειρατών Ελλάδας	ΑΝΤ.ΑΡ.ΣΥ.Α - Ε.Ε.Κ.	Λαϊκός Σύνδεσμος - Χρυσή Αυγή	ΚΟΙΝΩΝΙΑ	ΤΟ ΠΟΤΑΜΙ	ΕΝΙΑΙΟ ΠΑΛΑΙΚΟ ΜΕΤΩΠΟ (Ε.ΠΑ.Μ)	ΟΡΓΑΝΩΣΗ ΚΟΜΜΟΥΝΙΣΤΩΝ ΔΙΕΘΝΙΣΤΩΝ ΕΛΛΑΔΑΣ 	ΚΚΕ (μ-λ) - Μ-Λ ΚΚΕ - ΕΚΛΟΓΙΚΗ ΣΥΝΕΡΓΑΣΙΑ	Ενωση Κεντρώων	Ο.Α.Κ.Κ.Ε. Οργάνωση για την Ανασυγκρότηση του ΚΚΕ	"ΠΑΤΡΙΩΤΙΚΗ ΕΝΩΣΗ - ΕΛΛ. ΛΑΪΚΗ ΣΥΣΠΕΙΡΩΣΙΣ ""ΕΛ.ΛΑ.Σ."""	ΔΗΜΟΚΡΑΤΙΚΗ ΣΥΜΠΑΡΑΤΑΞΗ (ΠΑ.ΣΟ.Κ. - ΔΗΜ.ΑΡ.)	Ανεξάρτητοι Ελληνες - Εθνική Πατριωτική Συμμαχία	δημιουργία, ξανά! Θάνος Τζήμερος
1	Εβρου	336	6	168169	83882	1472	1290	1329	28268	2484	26736	0	0	372	510	7305	532	2544	462	88	99	2709	55	0	5728	4178	483
2	Ροδόπης	261	5	118628	60607	1069	1325	747	13782	1258	23849	0	0	158	204	3308	208	10350	207	76	87	1238	55	0	2764	2009	307
3	Ξάνθης	219	5	116147	57436	1164	1229	835	13686	1518	28494	0	0	205	341	3213	231	1567	397	77	173	1714	52	0	2355	2244	334
4	Δράμας	222	6	117715	56729	860	752	1350	18081	1760	16862	0	0	231	319	4021	466	3287	431	24	75	2462	23	0	4849	2090	398
5	Καβάλας	276	5	145200	75511	1086	970	2076	23443	3289	24464	0	0	301	367	5889	540	2366	536	51	69	3255	19	0	5245	3152	449
6	Α' Θεσσαλονίκης	815	7	516246	302358	3227	3564	8135	76469	16055	108286	0	0	1176	2548	21970	2228	14637	2111	225	514	20504	84	585	13051	11670	2110
7	Β' Θεσσαλονίκης	492	9	286248	181758	1961	2075	4240	53625	8749	59769	0	0	660	1148	15332	1534	7020	1093	75	287	10915	61	392	8622	7059	1177
8	Σερρών	447	8	231235	111819	1794	1491	2073	39370	4074	32515	0	0	0	635	8841	988	3765	643	74	151	4622	54	0	7824	5540	650
9	Χαλκιδικής	197	6	104213	61328	747	708	1508	20419	2016	20179	0	0	206	441	4429	319	1875	273	26	115	2548	34	107	4330	2205	298
10	Κιλκίς	218	3	105744	54828	703	570	1052	17772	3279	16937	0	0	144	288	5194	305	1205	228	33	89	2305	18	146	3870	1695	268
11	Πέλλας	279	5	148272	82554	1283	1123	1879	26043	3014	27456	0	0	254	673	7777	672	1880	323	50	134	3959	34	0	5520	2385	501
12	Ημαθίας	252	4	135836	79368	1008	910	2501	21876	4076	27204	0	0	0	604	7347	856	2303	521	45	142	3142	51	0	5424	2837	439
13	Πιερίας	237	4	130950	72237	820	839	2089	23607	3215	23427	0	0	0	0	5368	626	1986	489	47	189	3083	35	0	4784	2774	518
14	Φλώρινας	177	4	89767	31210	524	500	839	9449	1345	11810	0	0	0	231	2102	386	797	121	47	52	875	25	0	1906	1091	134
15	Κοζάνης	350	5	163601	88145	1485	1178	2463	24582	4785	29846	0	0	369	755	5464	839	2923	474	38	190	3154	28	215	6862	4597	561
16	Καστοριάς	133	4	62631	29157	486	438	662	10771	896	8443	0	0	0	159	2496	195	1017	138	10	37	1227	11	0	1761	1091	243
17	Γρεβενών	123	3	43434	22271	309	245	313	7161	1389	7685	0	0	0	164	1249	119	631	99	11	20	607	8	0	2085	640	90
18	Ιωαννίνων	471	9	174314	93578	1300	1153	2147	26513	5151	36982	0	0	294	999	4445	583	3321	426	33	416	2367	30	190	6886	2355	440
19	Αρτας	203	5	81069	45939	661	461	1204	14135	2628	18723	0	0	0	381	1933	194	1009	208	19	129	867	23	0	3252	1060	174
20	Θεσπρωτίας	161	4	61109	27862	307	293	671	8747	1236	10343	0	0	78	279	1314	118	863	130	26	173	565	17	0	2551	650	101
21	Πρέβεζας	169	4	66998	35783	442	410	869	11613	2418	12685	0	0	129	353	1818	117	1131	155	37	56	619	16	0	2870	774	123
22	Λάρισας	481	8	251001	149589	1916	1522	3643	41873	10843	52251	0	13	461	1217	10540	1230	5299	761	43	241	4864	75	224	9353	5789	869
23	Μαγνησίας	321	9	176389	100593	1463	1207	3342	26335	6273	36270	0	0	371	898	8515	878	3303	1324	42	118	3006	44	209	4816	4183	666
24	Τρικάλων	323	5	149442	80884	1244	1040	1489	24919	5749	28957	0	0	291	624	4567	407	2478	291	46	165	2212	48	0	5934	2308	399
25	Καρδίτσας	294	7	133289	73885	1083	889	1435	22797	4788	26403	0	0	200	521	5421	352	1809	253	23	216	1747	29	144	5293	2144	310
26	Κέρκυρας	227	3	111368	53749	603	566	2706	11928	3792	21815	0	0	0	458	4059	308	1609	452	34	111	1480	27	0	3056	1706	208
27	Λευκάδας	74	3	29209	13751	190	205	458	4401	1441	4219	0	0	0	186	724	68	354	106	6	18	297	4	0	1082	327	60
28	Κεφαλληνίας	125	3	57558	21569	308	247	725	5942	2182	7322	0	0	0	215	1591	123	752	211	10	36	558	14	0	1240	498	150
29	Ζακύνθου	100	2	42108	20096	228	285	796	5529	2050	7266	0	0	0	199	1352	82	550	111	0	40	365	8	0	1298	374	76
30	Αιτωλοακαρνανίας	525	8	240005	123172	1626	1342	3095	37820	7448	43263	0	0	352	952	8620	709	3102	739	56	159	2406	53	200	10454	3240	504
31	Αχαίας	571	6	277808	160368	2323	1785	5585	35881	9332	66501	0	0	563	1458	8908	1215	5405	1360	57	195	4235	49	290	12241	7093	0
32	Ηλείας	396	8	173710	85588	1380	965	2523	23038	3954	31929	0	0	230	657	6493	364	1878	319	42	83	1684	36	124	9204	2761	269
33	Φθιώτιδας	344	8	150545	89484	1279	1140	2768	27784	4277	30983	0	0	323	688	6952	602	2527	425	29	127	2031	28	172	6022	3285	461
34	Ευρυτανίας	126	3	31641	13608	187	181	295	4671	400	4554	0	0	38	112	639	201	609	67	7	14	303	5	0	1307	310	76
35	Φωκίδας	132	3	44256	23620	325	264	601	7596	1475	7790	0	0	63	170	1676	430	718	121	17	16	507	13	0	1544	787	96
36	Βοιωτίας	210	7	108030	63220	934	723	2806	14728	4424	23827	0	0	179	672	4869	385	2192	413	27	121	1486	43	110	4210	2376	352
37	Ευβοιας	418	9	202310	115662	1316	1280	3329	27723	6230	46195	0	265	377	779	9168	779	3746	730	40	115	3408	42	0	7557	4584	595
38	Α' Αθηνών	885	2	486405	248622	2602	2463	8887	77360	14483	78431	506	100	755	2786	17192	1527	14251	2004	57	276	8417	98	238	11633	8381	1240
39	Β' Αθηνών	2438	35	1449007	892894	9135	9379	27954	244480	60692	314376	2363	5	2727	10562	50370	4519	49874	8957	231	1311	32227	305	829	41446	34540	5126
40	Α' Πειραιώς	357	9	198825	101295	1166	1066	2995	29834	5206	34064	251	0	326	869	7920	625	4265	874	27	110	4423	43	180	4461	4310	512
41	Β' Πειραιώς	464	6	272154	150213	1822	1480	5670	27514	11932	63117	497	0	460	1215	12618	1022	4729	1448	53	217	5661	80	254	6032	7063	631
42	Αττικής	789	19	468073	290000	3126	3114	8285	78623	14978	105755	804	3	808	2146	25181	1931	12633	2637	75	426	9108	96	504	11831	12446	1730
43	Κορινθίας	301	7	140590	78753	1008	934	2381	23348	2437	27595	0	10	395	650	6820	688	2583	565	47	87	2512	33	0	5480	2638	484
44	Αργολίδος	203	5	95214	52638	791	689	1517	17747	2230	15534	0	0	0	466	4498	438	1773	278	15	79	1261	19	132	5050	1319	282
45	Αρκαδίας	345	6	131489	57277	917	675	1481	19367	2809	17569	0	0	161	515	3867	280	1789	274	26	78	1419	24	90	5678	1579	271
46	Μεσσηνίας	477	7	200899	93637	1498	1098	3130	33200	5085	28563	0	0	281	912	7583	419	2710	683	33	87	2556	27	156	5561	2240	411
47	Λακωνίας	286	6	129442	50175	674	527	1095	18837	2058	11574	0	0	148	346	5741	212	1241	281	18	54	979	17	0	6227	1175	172
48	Λέσβου	254	4	132487	54253	949	864	1697	15487	5796	15746	0	0	219	396	4223	348	1800	337	39	107	1272	30	0	4174	2355	227
49	Χίου	139	4	64614	28173	437	396	757	9178	1418	7863	0	0	91	218	1641	186	1030	115	10	42	904	8	0	3694	876	142
50	Σάμου	110	4	52648	23644	387	364	722	5314	3815	7333	0	0	0	225	1811	119	576	175	15	121	574	15	0	1432	1288	109
51	Κυκλάδων	256	20	126367	64571	938	1131	1999	20200	2864	21746	0	0	0	596	3996	511	2575	559	35	86	2241	31	92	4414	2191	435
52	Δωδεκανήσου	332	16	185080	89227	1530	1444	2362	25096	3032	30819	0	0	0	414	7185	756	2700	777	35	92	2674	46	0	8472	3993	774
53	Χανίων	304	8	142831	78869	928	955	3145	15299	4302	32864	0	0	309	892	4829	441	4942	838	38	356	1930	27	202	5180	2891	384
54	Ρεθύμνης	201	6	71082	42241	425	493	1141	11563	1422	16105	0	450	129	286	1708	205	2065	491	7	51	926	9	46	4357	1098	182
55	Ηρακλείου	501	9	251793	154919	1822	1838	4171	31502	6569	70034	0	0	448	1186	6100	971	6197	2631	43	268	3413	57	192	15062	5360	715
56	Λασιθίου	166	5	68414	38777	616	595	1353	10074	1263	15198	0	0	0	298	1530	207	1808	554	38	53	821	14	47	4398	928	193
